STT;Function ID (*);Tàn CN;M? MÖn hçnh;Tàn mÖn hçnh/API;M? quy trçnh;Tàn quy trçnh;M? UC (*)
1;DC1-TT-QT-001;Thàm m?i ph??ng th?c thu th?p d? li?u (qua API, qua file) ??i v?i m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH1;Thàm m?i ph??ng th?c thu th?p;DC1-TT;Thu th?p;DC1-UC001
2;DC1-TT-QT-001;C?p nh?t l?i ph??ng th?c thu th?p d? li?u (qua API, qua file) ??i v?i m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH2;C?p nh?t ph??ng th?c thu th?p;DC1-TT;Thu th?p;DC1-UC001
3;DC1-TT-QT-001;X¢a b? ph??ng th?c thu th?p d? li?u t? m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH3;X†c nh?n x¢a b? ph??ng th?c thu thÉp;DC1-TT;Thu th?p;DC1-UC001
4;DC1-TT-QT-001;Xem thìng tin chi ti?t ph??ng th?c thu th?p d? li?u t? m?t C? s? d? li?u c?a B? ban ngÖnh;DC1-UC001-MH4;Xem thìng tin chi ti?t;DC1-TT;Thu th?p;DC1-UC001
5;DC1-TT-QT-001;Tra c?u ph??ng th?c thu th?p d? li?u ??i v?i c†c C? s? d? li?u theo B? ban ngÖnh;DC1-UC001-MH5;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC001
6;DC1-TT-QT-001;K?t xu?t k?t qu? tra c?u ph??ng th?c thu th?p d? li?u ??i v?i c†c C? s? d? li?u theo B? ban ngÖnh ra excel, csv...;DC1-UC001-MH6;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC001
7;DC1-TT-QT-002;Tçm ki?m thìng tin truy c?p c?a ng??i dóng;DC1-UC002-MH1;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC002
8;DC1-TT-QT-002;Xem chi ti?t l?ch s? truy c?p c?a ng??i dóng;DC1-UC002-MH2;Xem chi ti?t;DC1-TT;Thu th?p;DC1-UC002
9;DC1-TT-QT-002;Tçm ki?m thìng tin ho?t ??ng c?a ng??i dóng theo c†c tiàu ch°;DC1-UC002-MH3;MÖn danh s†ch thìng tin;DC1-TT;Thu th?p;DC1-UC002
10;DC1-TT-QT-002;Xem chi ti?t l?ch s? ho?t ??ng c?a ng??i dóng;DC1-UC002-MH4;Xem chi ti?t;DC1-TT;Thu th?p;DC1-UC002
11;DC1-TT-QT-002;Xem c†c thìng tin kh†c c?a ng??i dóng (??a ch? IP, thi?t b? s? d?ng truy nh?p, trçnh duy?t?);DC1-UC002-MH5;Xem danh s†ch;DC1-TT;Thu th?p;DC1-UC002
12;DC1-TT-QT-003;Xem thìng tin thu th?p d? li?u theo ph??ng th?c thu th?p d? li?u d??i d?ng bi?u ??.;DC1-UC003-MH1;Xem danh s†ch;DC1-TT;Thu th?p;DC1-UC003
13;DC1-TT-QT-003;Thu th?p d? li?u theo ngu?n cung c?p d? li?u d??i d?ng bi?u ??;DC1-UC003-MH2;Xem bi?u ??;DC1-TT;Thu th?p;DC1-UC003
14;DC1-TT-QT-003;Xem thìng tin thu th?p d? li?u theo k?t qu? thu th?p d? li?u d??i d?ng bi?u ??;DC1-UC003-MH3;Xem danh s†ch;DC1-TT;Thu th?p;DC1-UC003
15;DC1-TT-QT-003;Xem thìng tin thu th?p d? li?u theo th?i gian d??i d?ng bi?u ??.;DC1-UC003-MH4;Xem danh s†ch;DC1-TT;Thu th?p;DC1-UC003
16;DC1-TT-QT-004;Kho d? li?u dóng chung ti?p nh?n d? li?u Thìng tin B?n †n, quy?t ??nh t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC004-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC004
17;DC1-TT-QT-004;h? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC004-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC004
18;DC1-TT-QT-005;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh mu?c gi??i ti?nh t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC005-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC005
19;DC1-TT-QT-005;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC005-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC005
20;DC1-TT-NN-006;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh mu?c vÖ m? c†c dÉn t?c t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC006-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC006
21;DC1-TT-NN-006;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC006-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC006
22;DC1-TT-NN-007;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh m?c vÖ m? Qu?c gia, Qu?c t?ch t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC007-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC007
23;DC1-TT-NN-007;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC007-MH3;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC007
24;DC1-TT-NN-008;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh m?c vÖ m? c†c Tìn gi†o t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC008-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC008
25;DC1-TT-NN-008;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC008-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC008
26;DC1-TT-NN-009;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh m?c c? quan t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC009-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC009
27;DC1-TT-NN-009;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC009-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC009
28;DC1-TT-NN-010;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh m?c ??n v? hÖnh ch°nh t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC010-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC010
29;DC1-TT-NN-010;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC010-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC010
30;DC1-TT-NN-011;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh m?c vÖ m? m?i quan h? trong gia ?çnh t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC011-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC011
31;DC1-TT-NN-011;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC011-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC011
32;DC1-TT-NN-012;Kho d? li?u dóng chung ti?p nh?n d? li?u Danh m?c m? gi?y t? tóy thÉn t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC012-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC012
33;DC1-TT-NN-012;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC012-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC012
34;DC1-TT-NN-013;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - H??ng tr? gi£p x? h?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC013-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC013
35;DC1-TT-NN-013;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC013-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC013
36;DC1-TT-NN-013;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - H??ng tr? gi£p x? h?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC013-MH3;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC013
37;DC1-TT-NN-014;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - H??ng tr? gi£p x? h?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC014-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC014
38;DC1-TT-NN-014;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC014-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC014
39;DC1-TT-NN-015;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - Thìng tin ng??i nghäo, c?n nghäo t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC015-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC015
40;DC1-TT-NN-015;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC015-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC015
41;DC1-TT-NN-016;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - Ng??i ??n thÉn t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC016-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC016
42;DC1-TT-NN-016;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC016-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC016
43;DC1-TT-NN-017;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - Tr? em lÖ ??i t??ng b?o tr? x? h?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC017-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC017
44;DC1-TT-NN-017;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC017-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC017
45;DC1-TT-NN-018;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo -Ng??i c¢ HIV t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC018-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC018
46;DC1-TT-NN-018;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC018-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC018
47;DC1-TT-NN-019;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo -Ng??i cao tu?i t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC019-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC019
48;DC1-TT-NN-019;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC019-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC019
49;DC1-TT-NN-020;Kho d? li?u dóng chung ti?p nh?n d? li?u B?o tr? x? h?i vÖ gi?m nghäo - Thìng tin v? ng??i khuy?t t?t t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC020-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC020
50;DC1-TT-NN-020;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC020-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC020
51;DC1-TT-NN-021;Kho d? li?u dóng chung ti?p nh?n d? li?u Ng??i c¢ cìng - H? s? cìng nh?n ng??i c¢ cìng t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC021-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC021
52;DC1-TT-NN-021;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC021-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC021
53;DC1-TT-NN-022;Kho d? li?u dóng chung ti?p nh?n d? li?u Ng??i c¢ cìng - H? s? li?t s?: t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC022-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC022
54;DC1-TT-NN-022;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC022-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC022
55;DC1-TT-NN-023;Kho d? li?u dóng chung ti?p nh?n d? li?u Ng??i c¢ cìng - H? s? cìng nh?n thÉn nhÉn ng??i c¢ cìng t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC023-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC023
56;DC1-TT-NN-023;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC023-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC023
57;DC1-TT-NN-024;Kho d? li?u dóng chung ti?p nh?n d? li?u Tr? em -Tr? em t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC024-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC024
58;DC1-TT-NN-024;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC024-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC024
59;DC1-TT-TN-TP-HT-025;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? khai sinh t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC025-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC025
60;DC1-TT-TN-TP-HT-025;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC025-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC025
61;DC1-TT-TN-TP-HT-026;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? k?t hìn t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC026-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC026
62;DC1-TT-TN-TP-HT-026;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC026-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC026
63;DC1-TT-TN-TP-HT-027;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? c?p Gi?y x†c nh?n tçnh tr?ng hìn nhÉn t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC027-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC027
64;DC1-TT-TN-TP-HT-027;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC027-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC027
65;DC1-TT-TN-TP-HT-028;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? khai t? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC028-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC028
66;DC1-TT-TN-TP-HT-028;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC028-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC028
67;DC1-TT-TN-TP-HT-029;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? nh?n cha, m?, con t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC029-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC029
68;DC1-TT-TN-TP-HT-029;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC029-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC029
69;DC1-TT-TN-TP-HT-030;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? nuìi con nuìi t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC030-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC030
70;DC1-TT-TN-TP-HT-030;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC030-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC030
71;DC1-TT-TN-TP-HT-031;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? gi†m h? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC031-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC031
72;DC1-TT-TN-TP-HT-031;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC031-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC031
73;DC1-TT-TN-TP-HT-032;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? ch?m d?t gi†m h? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC032-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC032
74;DC1-TT-TN-TP-HT-032;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC032-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC032
75;DC1-TT-TN-TP-HT-033;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? thay ??i, c?i ch°nh, b? sung thìng tin h? t?ch, x†c ??nh l?i dÉn t?c t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC033-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC033
76;DC1-TT-TN-TP-HT-033;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC033-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC033
77;DC1-TT-TN-TP-HT-034;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? gi†m s†t vi?c gi†m h? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC034-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC034
78;DC1-TT-TN-TP-HT-034;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC034-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC034
79;DC1-TT-TN-TP-HT-035;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ??ng k? ch?m d?t gi†m s†t vi?c gi†m h? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC035-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC035
80;DC1-TT-TN-TP-HT-035;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC035-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC035
81;DC1-TT-TN-TP-HT-036;Kho d? li?u dóng chung ti?p nh?n d? li?ui?u h? s? ghi vÖo s? vi?c ly hìn/h?y vi?c k?t hìn ?? th?c hi?n t?i c? quan c¢ th?m quy?n c?a n??c ng t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC036-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC036
82;DC1-TT-TN-TP-HT-036;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC036-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC036
83;DC1-TT-TN-TP-QT-037;Kho d? li?u dóng chung ti?p nh?n d? li?u Nh?p Qu?c t?ch t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC037-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC037
84;DC1-TT-TN-TP-QT-037;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC037-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC037
85;DC1-TT-TN-TP-QT-037-038;Kho d? li?u dóng chung ti?p nh?n d? li?u Thìi Qu?c t?ch t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC038-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC038
86;DC1-TT-TN-TP-QT-037-038;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC038-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC038
87;DC1-TT-TN-TP-QT-037-038-039;Kho d? li?u dóng chung ti?p nh?n d? li?u Tr? l?i Qu?c t?ch t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC039-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC039
88;DC1-TT-TN-TP-QT-037-038-039;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC039-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC039
89;DC1-TT-TN-THADS-040;Kho d? li?u dóng chung ti?p nh?n d? li?u Yàu c?u thi hÖnh †n c?a c† nhÉn, c? quan, t? ch?c t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC040-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC040
90;DC1-TT-TN-THADS-040;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC040-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC040
91;DC1-TT-TN-THADS-041;Kho d? li?u dóng chung ti?p nh?n d? li?u Quy?t ??nh thi hÖnh †n dÉn s? t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC041-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC041
92;DC1-TT-TN-THADS-041;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC041-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC041
93;DC1-TT-TN-THADS-042;Kho d? li?u dóng chung ti?p nh?n d? li?u Ng??i ph?i thi hÖnh †n, ng??i ???c thi hÖnh †n, ng??i c¢ quy?n l?i ngh?a v? liàn quan t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC042-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC042
94;DC1-TT-TN-THADS-042;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC042-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC042
95;DC1-TT-TN-THADS-043;Kho d? li?u dóng chung ti?p nh?n d? li?u Ngh?a v? thi hÖnh †n t? h? th?ng ngu?n thìng qua kành t°ch h?p;DC1-UC043-MH1;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC043
96;DC1-TT-TN-THADS-043;H? th?ng g?i thìng b†o l?i käm nguyàn nhÉn. N?u d? li?u ??t yàu c?u, h? th?ng ti?p nh?n d? li?u vÖ thìng b†o thÖnh cìng;DC1-UC043-MH2;MÖn xem chi ti?t;DC1-TT;Thu th?p;DC1-UC043
